"game_id","platform_id","game_title","moby_score","total_moby_score_votes","registered_users_moby_score_votes","moby_rank"
"1","3","X-Files Game, The","3.77","28","22","71.00"
"1","6","X-Files Game, The","4.26","5","5","null"
"1","74","X-Files Game, The","5.00","1","1","null"
"2","2","Who Framed Roger Rabbit","2.57","11","9","null"
"2","19","Who Framed Roger Rabbit","2.83","3","3","50.00"
"2","24","Who Framed Roger Rabbit","2.00","1","1","null"
"2","27","Who Framed Roger Rabbit","2.88","2","2","null"
"2","31","Who Framed Roger Rabbit","2.00","1","1","null"
"3","2","Wing Commander","4.06","99","70","null"
"3","15","Wing Commander","2.88","12","12","null"
"3","19","Wing Commander","3.72","17","17","81.00"
"3","20","Wing Commander","2.68","8","8","null"
"4","3","Sid Meier's Alpha Centauri","3.95","176","117","89.00"
"4","74","Sid Meier's Alpha Centauri","4.30","4","4","null"
"5","2","Indianapolis 500: The Simulation","3.62","43","33","null"
"5","19","Indianapolis 500: The Simulation","4.25","3","3","85.00"
"6","3","Sid Meier's Gettysburg!","3.80","30","20","82.00"
"7","2","V for Victory: D-Day Utah Beach","3.13","8","6","null"
"7","74","V for Victory: D-Day Utah Beach","null","null","null","null"
"8","2","V for Victory: Market-Garden","4.20","3","3","null"
"8","74","V for Victory: Market-Garden","null","null","null","null"
"9","2","V for Victory: Gold-Juno-Sword","3.13","3","3","null"
"10","2","Chessmaster 2000, The","3.41","18","11","null"
"10","19","Chessmaster 2000, The","null","null","null","null"
"10","24","Chessmaster 2000, The","4.00","1","1","null"
"10","27","Chessmaster 2000, The","null","null","null","null"
"10","31","Chessmaster 2000, The","null","null","null","null"
"10","39","Chessmaster 2000, The","null","null","null","null"
"10","41","Chessmaster 2000, The","null","null","null","null"
"10","57","Chessmaster 2000, The","null","null","null","null"
"10","60","Chessmaster 2000, The","null","null","null","null"
"11","2","Fidelity Chessmaster 2100, The","3.17","10","6","null"
"11","19","Fidelity Chessmaster 2100, The","3.00","1","1","null"
"11","27","Fidelity Chessmaster 2100, The","null","null","null","null"
"11","51","Fidelity Chessmaster 2100, The","null","null","null","null"
"12","2","Chessmaster 3000","3.50","6","6","null"
"12","5","Chessmaster 3000","null","null","null","null"
"12","74","Chessmaster 3000","null","null","null","null"
"13","5","The Chessmaster 4000 Turbo","3.84","8","8","null"
"14","3","Chessmaster 5000","3.38","6","4","null"
"15","3","Sid Meier's Civilization II","4.05","233","161","93.00"
"15","5","Sid Meier's Civilization II","4.33","9","9","null"
"15","6","Sid Meier's Civilization II","3.09","35","25","null"
"15","74","Sid Meier's Civilization II","3.40","1","1","null"
"16","2","OutRun","3.42","21","18","null"
"16","16","OutRun","4.04","7","7","null"
"16","19","OutRun","3.92","3","3","null"
"16","23","OutRun","2.00","1","1","null"
"16","24","OutRun","3.54","7","7","null"
"16","25","OutRun","3.75","2","2","null"
"16","26","OutRun","4.06","9","9","63.00"
"16","27","OutRun","3.75","3","3","null"
"16","40","OutRun","null","null","null","null"
"16","41","OutRun","null","null","null","null"
"16","57","OutRun","null","null","null","null"
"16","60","OutRun","2.50","2","2","null"
"16","64","OutRun","2.00","1","1","null"
"17","2","Sargon 5: World Class Chess","3.11","7","5","null"
"18","4","Digger","3.89","65","42","null"
"19","4","Rollo and the Brush Brothers","3.00","6","5","null"
"20","2","Styx","2.46","6","4","null"
"20","4","Styx","1.44","4","4","null"
"21","4","Conquest","3.56","8","5","null"
"22","4","Moon Bugs","3.65","14","11","null"
"23","2","Ancient Art of War, The","3.62","34","22","null"
"23","24","Ancient Art of War, The","null","null","null","null"
"23","31","Ancient Art of War, The","3.80","2","2","null"
"23","60","Ancient Art of War, The","null","null","null","null"
"23","74","Ancient Art of War, The","null","null","null","null"
"24","2","Manhunter: New York","3.27","27","20","null"
"24","19","Manhunter: New York","2.88","2","2","null"
"24","24","Manhunter: New York","3.67","3","3","null"
"24","51","Manhunter: New York","null","null","null","null"
"25","2","Manhunter 2: San Francisco","3.22","23","17","null"
"25","19","Manhunter 2: San Francisco","3.25","3","3","null"
"25","24","Manhunter 2: San Francisco","3.00","1","1","null"
"25","74","Manhunter 2: San Francisco","null","null","null","null"
"26","2","King of Chicago, The","2.93","11","8","null"
"26","19","King of Chicago, The","4.22","9","9","null"
"26","24","King of Chicago, The","3.50","1","1","null"
"26","74","King of Chicago, The","null","null","null","null"
"27","2","Three Stooges, The","3.53","9","8","null"
"27","6","Three Stooges, The","null","null","null","null"
"27","12","Three Stooges, The","4.50","2","1","null"
"27","19","Three Stooges, The","3.97","9","9","null"
"27","22","Three Stooges, The","3.25","3","3","null"
"27","27","Three Stooges, The","3.25","3","3","null"
"28","2","Knights of the Sky","2.84","20","12","null"
"28","19","Knights of the Sky","3.42","3","3","null"
"28","24","Knights of the Sky","3.42","3","3","null"
"29","4","Spitfire Ace","2.48","5","5","null"
"29","27","Spitfire Ace","null","null","null","null"
"29","39","Spitfire Ace","null","null","null","null"
"30","2","Deadline","3.60","16","13","null"
"30","4","Deadline","2.40","5","5","null"
"30","19","Deadline","4.17","2","2","null"
"30","24","Deadline","3.33","1","1","null"
"30","27","Deadline","4.17","2","2","null"
"30","31","Deadline","3.33","1","1","null"
"30","39","Deadline","null","null","null","null"
"30","60","Deadline","null","null","null","null"
"30","74","Deadline","null","null","null","null"
"31","2","Leather Goddesses of Phobos","3.64","25","19","null"
"31","19","Leather Goddesses of Phobos","2.78","3","3","null"
"31","24","Leather Goddesses of Phobos","3.17","4","4","null"
"31","27","Leather Goddesses of Phobos","3.36","5","5","null"
"31","31","Leather Goddesses of Phobos","3.28","6","6","null"
"31","39","Leather Goddesses of Phobos","2.50","2","2","null"
"31","60","Leather Goddesses of Phobos","2.50","2","2","null"
"31","74","Leather Goddesses of Phobos","2.50","2","2","null"
"42","2","Wing Commander Academy","2.48","20","14","null"
"43","2","Cycles: International Grand Prix Racing, The","3.42","16","10","null"
"43","19","Cycles: International Grand Prix Racing, The","null","null","null","null"
"43","27","Cycles: International Grand Prix Racing, The","null","null","null","null"
"43","41","Cycles: International Grand Prix Racing, The","null","null","null","null"
"43","60","Cycles: International Grand Prix Racing, The","null","null","null","null"
"44","2","Airball","3.81","9","6","null"
"44","19","Airball","2.25","1","1","null"
"44","24","Airball","3.58","3","3","null"
"44","39","Airball","null","null","null","null"
"44","51","Airball","null","null","null","null"
"44","79","Airball","null","null","null","null"
"45","2","Rocket Ranger","3.16","8","6","null"
"45","19","Rocket Ranger","4.04","7","7","null"
"45","22","Rocket Ranger","2.63","2","2","null"
"45","24","Rocket Ranger","null","null","null","null"
"45","27","Rocket Ranger","3.33","3","3","null"
"45","51","Rocket Ranger","null","null","null","null"
"46","2","Bop'N Wrestle","2.55","5","5","null"
"46","27","Bop'N Wrestle","2.65","5","5","null"
"46","31","Bop'N Wrestle","null","null","null","null"
"46","39","Bop'N Wrestle","null","null","null","null"
"46","41","Bop'N Wrestle","null","null","null","null"
"47","4","Zyll","3.47","15","9","null"
"48","2","Skate or Die","3.32","28","16","null"
"48","22","Skate or Die","3.58","9","9","null"
"48","27","Skate or Die","4.53","8","8","null"
"48","41","Skate or Die","null","null","null","null"
"48","51","Skate or Die","null","null","null","null"
"48","60","Skate or Die","null","null","null","null"
"48","82","Skate or Die","null","null","null","null"
"49","2","Thexder","3.56","33","24","null"
"49","19","Thexder","null","null","null","null"
"49","22","Thexder","null","null","null","null"
"49","31","Thexder","3.33","1","1","null"
"49","51","Thexder","null","null","null","null"
"49","57","Thexder","null","null","null","null"
"49","62","Thexder","null","null","null","null"
"49","74","Thexder","null","null","null","null"
"50","2","Zork: The Great Underground Empire","3.63","50","38","80.00"
"50","4","Zork: The Great Underground Empire","3.42","12","11","null"
"50","19","Zork: The Great Underground Empire","2.56","3","3","null"
"50","24","Zork: The Great Underground Empire","2.40","5","5","null"
"50","27","Zork: The Great Underground Empire","2.78","6","6","null"
"50","31","Zork: The Great Underground Empire","2.75","8","8","null"
"50","39","Zork: The Great Underground Empire","1.50","2","2","null"
"50","57","Zork: The Great Underground Empire","1.50","2","2","null"
"50","58","Zork: The Great Underground Empire","2.00","3","3","null"
"50","60","Zork: The Great Underground Empire","1.50","2","2","null"
"50","62","Zork: The Great Underground Empire","null","null","null","null"
"50","74","Zork: The Great Underground Empire","2.92","4","4","null"
"50","84","Zork: The Great Underground Empire","2.11","3","3","null"
"51","2","Planetfall","3.81","21","14","null"
"51","4","Planetfall","2.94","6","5","null"
"51","19","Planetfall","4.00","2","2","null"
"51","24","Planetfall","3.53","5","5","null"
"51","27","Planetfall","3.72","6","6","null"
"51","31","Planetfall","3.13","5","5","null"
"51","39","Planetfall","4.20","2","2","null"
"51","58","Planetfall","4.00","2","2","null"
"51","60","Planetfall","4.00","2","2","null"
"51","62","Planetfall","null","null","null","null"
"51","74","Planetfall","4.25","4","4","null"
"52","2","Zork II: The Wizard of Frobozz","3.53","26","20","null"
"52","4","Zork II: The Wizard of Frobozz","1.57","5","5","null"
"52","19","Zork II: The Wizard of Frobozz","2.56","3","3","null"
"52","24","Zork II: The Wizard of Frobozz","2.43","5","5","null"
"52","27","Zork II: The Wizard of Frobozz","2.76","6","6","null"
"52","31","Zork II: The Wizard of Frobozz","2.29","5","5","null"
"52","39","Zork II: The Wizard of Frobozz","0.00","1","1","null"
"52","57","Zork II: The Wizard of Frobozz","0.00","1","1","null"
"52","58","Zork II: The Wizard of Frobozz","0.00","1","1","null"
"52","60","Zork II: The Wizard of Frobozz","0.00","1","1","null"
"52","62","Zork II: The Wizard of Frobozz","null","null","null","null"
"52","74","Zork II: The Wizard of Frobozz","2.00","2","2","null"
"52","84","Zork II: The Wizard of Frobozz","0.00","1","1","null"
"53","2","Zork III: The Dungeon Master","3.71","21","17","null"
"53","4","Zork III: The Dungeon Master","2.80","5","5","null"
"53","19","Zork III: The Dungeon Master","3.00","4","4","null"
"53","24","Zork III: The Dungeon Master","2.60","5","5","null"
"53","27","Zork III: The Dungeon Master","3.65","6","6","null"
"53","31","Zork III: The Dungeon Master","3.50","5","5","null"
"53","39","Zork III: The Dungeon Master","2.00","2","2","null"
"53","57","Zork III: The Dungeon Master","2.67","3","3","null"
"53","58","Zork III: The Dungeon Master","2.67","3","3","null"
"53","60","Zork III: The Dungeon Master","2.00","2","2","null"
"53","62","Zork III: The Dungeon Master","null","null","null","null"
"53","74","Zork III: The Dungeon Master","2.67","3","3","null"
"53","84","Zork III: The Dungeon Master","2.00","2","2","null"
"54","2","Beyond Zork: The Coconut of Quendor","3.69","27","19","null"
"54","19","Beyond Zork: The Coconut of Quendor","2.73","3","3","null"
"54","24","Beyond Zork: The Coconut of Quendor","3.20","4","4","null"
"54","31","Beyond Zork: The Coconut of Quendor","2.45","3","3","null"
"54","51","Beyond Zork: The Coconut of Quendor","0.00","1","1","null"
"54","61","Beyond Zork: The Coconut of Quendor","0.00","1","1","null"
"54","74","Beyond Zork: The Coconut of Quendor","1.71","2","2","null"
"55","2","Zork Zero: The Revenge of Megaboz","3.53","17","14","null"
"55","19","Zork Zero: The Revenge of Megaboz","1.88","2","2","89.00"
"55","31","Zork Zero: The Revenge of Megaboz","2.38","2","2","null"
"55","74","Zork Zero: The Revenge of Megaboz","2.45","3","3","null"
"56","2","Enchanter","3.61","21","14","null"
"56","4","Enchanter","1.79","5","5","null"
"56","19","Enchanter","2.25","4","4","null"
"56","24","Enchanter","1.33","3","3","null"
"56","27","Enchanter","0.00","2","2","null"
"56","31","Enchanter","2.25","4","4","null"
"56","39","Enchanter","0.00","2","2","null"
"56","58","Enchanter","null","null","null","null"
"56","60","Enchanter","0.00","2","2","null"
"56","62","Enchanter","null","null","null","null"
"56","74","Enchanter","0.00","2","2","null"
"57","2","Sorcerer","3.79","8","7","null"
"57","4","Sorcerer","2.50","2","2","null"
"57","19","Sorcerer","3.00","3","3","null"
"57","24","Sorcerer","4.00","1","1","null"
"57","27","Sorcerer","4.00","1","1","null"
"57","31","Sorcerer","4.00","2","2","null"
"57","39","Sorcerer","null","null","null","null"
"57","58","Sorcerer","null","null","null","null"
"57","60","Sorcerer","null","null","null","null"
"57","74","Sorcerer","null","null","null","null"
"58","2","Spellbreaker","3.62","14","10","null"
"58","19","Spellbreaker","4.50","2","2","null"
"58","24","Spellbreaker","3.25","4","4","null"
"58","27","Spellbreaker","2.00","2","2","null"
"58","31","Spellbreaker","2.78","3","3","null"
"58","39","Spellbreaker","null","null","null","null"
"58","60","Spellbreaker","null","null","null","null"
"58","74","Spellbreaker","null","null","null","null"
"59","2","Starcross","3.75","16","14","null"
"59","4","Starcross","3.39","6","4","null"
"59","19","Starcross","3.00","3","3","null"
"59","24","Starcross","2.89","3","3","null"
"59","27","Starcross","2.50","4","4","null"
"59","31","Starcross","2.00","2","2","null"
"59","39","Starcross","2.33","2","2","null"
"59","58","Starcross","null","null","null","null"
"59","74","Starcross","0.00","1","1","null"
"60","2","Suspended","3.83","12","11","null"
"60","4","Suspended","2.00","4","3","null"
"60","19","Suspended","4.67","2","2","null"
"60","24","Suspended","4.33","1","1","null"
"60","27","Suspended","4.67","2","2","null"
"60","31","Suspended","4.33","1","1","null"
"60","39","Suspended","4.33","1","1","null"
"60","58","Suspended","4.33","1","1","null"
"60","60","Suspended","4.33","1","1","null"
"60","74","Suspended","4.33","1","1","null"
"61","2","Witness, The","3.67","11","9","null"
"61","4","Witness, The","1.50","2","2","null"
"61","19","Witness, The","3.00","1","1","null"
"61","24","Witness, The","3.00","1","1","null"
"61","27","Witness, The","3.00","1","1","null"
"61","31","Witness, The","3.00","1","1","null"
"61","39","Witness, The","null","null","null","null"
"61","62","Witness, The","null","null","null","null"
"61","74","Witness, The","null","null","null","null"
"62","2","Infidel","3.58","12","10","null"
"62","4","Infidel","2.78","3","2","null"
"62","19","Infidel","4.00","1","1","null"
"62","24","Infidel","3.83","2","2","null"
"62","27","Infidel","4.00","1","1","null"
"62","31","Infidel","4.00","1","1","null"
"62","39","Infidel","null","null","null","null"
"62","58","Infidel","null","null","null","null"
"62","60","Infidel","null","null","null","null"
"62","62","Infidel","null","null","null","null"
"62","74","Infidel","null","null","null","null"
"63","2","Seastalker","3.43","7","6","null"
"63","4","Seastalker","3.00","1","1","null"
"63","19","Seastalker","3.00","1","1","null"
"63","24","Seastalker","3.00","1","1","null"
"63","27","Seastalker","3.00","1","1","null"
"63","31","Seastalker","3.00","1","1","null"
"63","39","Seastalker","null","null","null","null"
"63","60","Seastalker","null","null","null","null"
"63","62","Seastalker","null","null","null","null"
"63","74","Seastalker","null","null","null","null"
"64","2","Firehawk","3.35","12","10","null"
"64","57","Firehawk","null","null","null","null"
"65","4","Big Top","3.36","7","5","null"
"66","4","Cosmic Crusader","3.31","9","8","null"
"67","4","Snack Attack II","3.13","6","5","null"
"68","4","Master Miner","null","null","null","null"
"69","3","SimCity 3000","3.74","73","55","85.00"
"69","74","SimCity 3000","2.75","1","1","null"
"70","2","Sid Meier's Railroad Tycoon","3.89","64","39","null"
"70","19","Sid Meier's Railroad Tycoon","4.20","5","5","90.00"
"70","24","Sid Meier's Railroad Tycoon","4.25","1","1","null"
"71","2","Night Mission Pinball (v3.0)","3.31","4","3","null"
"72","4","Night Mission Pinball","3.03","10","9","null"
"72","27","Night Mission Pinball","3.08","3","3","null"
"72","31","Night Mission Pinball","4.00","1","1","null"
"72","39","Night Mission Pinball","3.75","1","1","null"
"73","4","Archon: The Light and the Dark","3.86","35","19","null"
"73","19","Archon: The Light and the Dark","4.40","1","1","null"
"73","22","Archon: The Light and the Dark","2.07","3","3","null"
"73","27","Archon: The Light and the Dark","4.06","19","19","null"
"73","31","Archon: The Light and the Dark","null","null","null","null"
"73","39","Archon: The Light and the Dark","4.40","3","3","null"
"73","41","Archon: The Light and the Dark","null","null","null","null"
"73","60","Archon: The Light and the Dark","null","null","null","null"
"74","2","Project Neptune","3.00","3","2","null"
"74","19","Project Neptune","null","null","null","null"
"74","24","Project Neptune","3.00","1","1","null"
"74","27","Project Neptune","null","null","null","null"
"74","60","Project Neptune","null","null","null","null"
"75","4","Crossfire","2.68","10","8","null"
"75","27","Crossfire","3.25","1","1","null"
"75","31","Crossfire","2.50","1","1","null"
"75","39","Crossfire","null","null","null","null"
"75","43","Crossfire","null","null","null","null"
"76","4","Shamus","3.25","3","2","null"
"76","11","Shamus","null","null","null","null"
"76","27","Shamus","null","null","null","null"
"76","39","Shamus","4.75","1","1","null"
"76","43","Shamus","null","null","null","null"
"76","47","Shamus","null","null","null","null"
"76","62","Shamus","null","null","null","null"
"77","2","Karnov","2.52","7","5","null"
"77","4","Karnov","2.59","8","6","null"
"77","22","Karnov","2.60","10","10","null"
"77","27","Karnov","2.00","1","1","null"
"77","41","Karnov","null","null","null","null"
"77","60","Karnov","3.50","1","1","null"
"77","74","Karnov","null","null","null","null"
"78","2","Prince of Persia 2: The Shadow & The Flame","3.89","68","45","null"
"78","15","Prince of Persia 2: The Shadow & The Flame","3.63","2","2","null"
"78","74","Prince of Persia 2: The Shadow & The Flame","3.00","1","1","null"
"79","4","Mine Shaft","1.75","4","3","null"
"79","31","Mine Shaft","null","null","null","null"
"80","4","Jumpman","3.76","29","15","null"
"80","27","Jumpman","4.18","7","7","null"
"80","31","Jumpman","3.25","1","1","null"
"80","39","Jumpman","4.00","1","1","null"
"80","82","Jumpman","null","null","null","null"
"81","4","TV and Cinema 101: Trivia from Talkies to Trekkies","2.50","1","1","null"
"82","2","Bumble Plot","1.50","1","1","null"
"83","2","Adventures in Math","2.79","6","5","null"
"84","2","Monster Math","2.20","5","5","null"
"85","2","Starflight 2: Trade Routes of the Cloud Nebula","3.84","40","28","null"
"85","19","Starflight 2: Trade Routes of the Cloud Nebula","3.38","4","4","null"
"85","74","Starflight 2: Trade Routes of the Cloud Nebula","0.00","1","1","null"
"86","2","Crimson Crown, The","2.42","3","3","null"
"86","19","Crimson Crown, The","null","null","null","null"
"86","24","Crimson Crown, The","null","null","null","null"
"86","27","Crimson Crown, The","3.00","1","1","null"
"86","31","Crimson Crown, The","null","null","null","null"
"86","74","Crimson Crown, The","null","null","null","null"
"87","2","Cutthroats","3.11","6","5","null"
"87","4","Cutthroats","3.50","2","2","null"
"87","19","Cutthroats","3.00","1","1","null"
"87","24","Cutthroats","3.00","1","1","null"
"87","27","Cutthroats","3.00","1","1","null"
"87","31","Cutthroats","3.00","1","1","null"
"87","39","Cutthroats","null","null","null","null"
"87","47","Cutthroats","null","null","null","null"
"87","58","Cutthroats","null","null","null","null"
"87","60","Cutthroats","null","null","null","null"
"87","74","Cutthroats","null","null","null","null"
"88","2","Hitchhiker's Guide to the Galaxy, The","3.97","53","37","80.00"
"88","4","Hitchhiker's Guide to the Galaxy, The","null","null","null","null"
"88","19","Hitchhiker's Guide to the Galaxy, The","3.73","10","10","null"
"88","24","Hitchhiker's Guide to the Galaxy, The","3.69","11","11","null"
"88","27","Hitchhiker's Guide to the Galaxy, The","3.91","16","16","null"
"88","31","Hitchhiker's Guide to the Galaxy, The","3.88","14","14","null"
"88","39","Hitchhiker's Guide to the Galaxy, The","3.42","4","4","null"
"88","47","Hitchhiker's Guide to the Galaxy, The","null","null","null","null"
"88","58","Hitchhiker's Guide to the Galaxy, The","null","null","null","null"
"88","60","Hitchhiker's Guide to the Galaxy, The","2.73","5","5","null"
"88","62","Hitchhiker's Guide to the Galaxy, The","null","null","null","null"
"88","74","Hitchhiker's Guide to the Galaxy, The","3.42","4","4","null"
"88","84","Hitchhiker's Guide to the Galaxy, The","4.33","1","1","null"
"89","2","Dr. Dumont's Wild P.A.R.T.I.","2.78","3","3","null"
"90","4","Tass Times in Tonetown","3.89","9","8","null"
"90","19","Tass Times in Tonetown","3.41","5","5","null"
"90","24","Tass Times in Tonetown","3.75","4","4","null"
"90","27","Tass Times in Tonetown","3.45","5","5","null"
"90","31","Tass Times in Tonetown","3.25","6","6","null"
"90","51","Tass Times in Tonetown","null","null","null","null"
"91","2","Transylvania","3.35","13","9","null"
"91","19","Transylvania","null","null","null","null"
"91","24","Transylvania","3.50","1","1","null"
"91","27","Transylvania","null","null","null","null"
"91","31","Transylvania","3.42","3","3","null"
"91","39","Transylvania","null","null","null","null"
"91","74","Transylvania","null","null","null","null"
"91","86","Transylvania","null","null","null","null"
"92","2","Altered Destiny","3.22","10","9","null"
"92","19","Altered Destiny","null","null","null","null"
"93","2","Suspect","3.61","8","7","null"
"93","4","Suspect","3.33","3","3","null"
"93","19","Suspect","3.33","1","1","null"
"93","24","Suspect","3.33","1","1","null"
"93","27","Suspect","3.33","1","1","null"
"93","31","Suspect","3.33","1","1","null"
"93","39","Suspect","null","null","null","null"
"93","60","Suspect","null","null","null","null"
"93","74","Suspect","null","null","null","null"
"94","2","A Mind Forever Voyaging","3.90","35","24","null"
"94","19","A Mind Forever Voyaging","3.60","5","5","null"
"94","24","A Mind Forever Voyaging","3.11","3","3","null"
"94","31","A Mind Forever Voyaging","3.27","5","5","null"
"94","61","A Mind Forever Voyaging","4.50","2","2","null"
"94","74","A Mind Forever Voyaging","4.67","2","2","null"
"95","2","Wishbringer","3.74","14","12","null"
"95","19","Wishbringer","4.00","1","1","null"
"95","24","Wishbringer","4.00","1","1","null"
"95","27","Wishbringer","3.80","5","5","null"
"95","31","Wishbringer","3.83","2","2","null"
"95","39","Wishbringer","null","null","null","null"
"95","60","Wishbringer","null","null","null","null"
"95","62","Wishbringer","null","null","null","null"
"95","74","Wishbringer","null","null","null","null"
"96","2","Quarantine","3.66","44","28","76.00"
"96","6","Quarantine","2.50","2","2","null"
"96","23","Quarantine","null","null","null","null"
"96","35","Quarantine","2.00","1","1","49.00"
"97","2","Wonderland","3.33","14","10","null"
"97","19","Wonderland","4.13","3","3","null"
"97","24","Wonderland","3.80","1","1","null"
"98","2","Rise of the Dragon","3.94","42","30","69.00"
"98","19","Rise of the Dragon","3.86","7","7","null"
"98","20","Rise of the Dragon","3.85","11","11","71.00"
"98","74","Rise of the Dragon","4.10","2","2","null"
"99","2","Big Red Racing","3.65","23","20","82.00"
"99","3","Big Red Racing","3.75","23","15","null"
"100","4","Touchdown Football","3.40","3","3","null"
"100","27","Touchdown Football","null","null","null","null"
"100","34","Touchdown Football","null","null","null","null"
"100","39","Touchdown Football","null","null","null","null"
"101","2","Armor Alley","3.15","12","12","null"
"101","74","Armor Alley","null","null","null","null"
"102","4","Robotron: 2084","2.92","6","5","null"
"102","18","Robotron: 2084","3.50","1","1","null"
"102","24","Robotron: 2084","3.08","3","3","null"
"102","27","Robotron: 2084","2.00","2","2","null"
"102","31","Robotron: 2084","null","null","null","null"
"102","33","Robotron: 2084","3.88","2","2","null"
"102","34","Robotron: 2084","4.25","1","1","null"
"102","39","Robotron: 2084","null","null","null","null"
"102","41","Robotron: 2084","null","null","null","null"
"102","43","Robotron: 2084","0.75","1","1","null"
"102","47","Robotron: 2084","null","null","null","null"
"102","69","Robotron: 2084","2.75","1","1","72.00"
"103","2","Wibarm","2.67","3","3","null"
"104","2","Ultima VI: The False Prophet","4.01","68","51","null"
"104","15","Ultima VI: The False Prophet","1.79","3","3","null"
"104","19","Ultima VI: The False Prophet","3.30","7","7","null"
"104","24","Ultima VI: The False Prophet","2.50","2","2","null"
"104","27","Ultima VI: The False Prophet","3.03","7","7","null"
"105","2","MechWarrior","3.61","29","19","null"
"105","15","MechWarrior","4.33","3","3","null"
"106","2","MechWarrior 2: 31st Century Combat","4.06","18","18","84.00"
"106","3","MechWarrior 2: 31st Century Combat","3.96","54","33","90.00"
"106","6","MechWarrior 2: 31st Century Combat","3.18","8","8","86.00"
"106","23","MechWarrior 2: 31st Century Combat","3.00","3","3","null"
"210","3","Cannon Fodder","3.71","8","8","null"
"106","74","MechWarrior 2: 31st Century Combat","4.50","2","2","null"
"107","2","Test Drive","3.29","27","22","null"
"107","19","Test Drive","3.63","12","12","null"
"107","24","Test Drive","4.00","5","5","null"
"107","27","Test Drive","3.72","8","8","null"
"107","31","Test Drive","null","null","null","null"
"108","2","Chuck Yeager's Air Combat","3.73","42","26","null"
"108","74","Chuck Yeager's Air Combat","3.00","1","1","null"
"109","2","Life & Death","3.18","14","10","null"
"109","19","Life & Death","null","null","null","null"
"109","24","Life & Death","3.00","2","2","null"
"110","2","Dark Castle","3.91","3","2","null"
"110","16","Dark Castle","1.88","2","2","null"
"110","19","Dark Castle","3.25","2","2","null"
"110","24","Dark Castle","null","null","null","null"
"110","27","Dark Castle","null","null","null","null"
"110","51","Dark Castle","null","null","null","null"
"110","73","Dark Castle","null","null","null","null"
"110","74","Dark Castle","5.00","1","1","null"
"111","2","Virtuoso","1.86","11","7","null"
"111","35","Virtuoso","null","null","null","30.00"
"112","2","NHL 96","3.43","8","5","81.00"
"112","15","NHL 96","2.00","2","2","null"
"112","16","NHL 96","3.05","4","4","92.00"
"113","3","Myth: The Fallen Lords","3.91","39","30","85.00"
"113","74","Myth: The Fallen Lords","5.00","1","1","null"
"114","2","Space Quest: The Sarien Encounter","3.95","58","45","null"
"114","19","Space Quest: The Sarien Encounter","3.27","6","6","null"
"114","24","Space Quest: The Sarien Encounter","4.24","7","7","null"
"114","31","Space Quest: The Sarien Encounter","3.40","2","2","null"
"114","51","Space Quest: The Sarien Encounter","null","null","null","null"
"114","74","Space Quest: The Sarien Encounter","null","null","null","null"
"115","2","Starflight","4.00","52","35","96.00"
"115","16","Starflight","3.77","14","14","84.00"
"115","19","Starflight","2.45","5","5","null"
"115","24","Starflight","3.38","4","4","null"
"115","27","Starflight","4.63","2","2","null"
"115","74","Starflight","null","null","null","null"
"116","2","Gabriel Knight: Sins of the Fathers","4.06","174","135","84.00"
"116","5","Gabriel Knight: Sins of the Fathers","4.08","58","56","92.00"
"116","74","Gabriel Knight: Sins of the Fathers","3.51","11","11","null"
"117","3","Forsaken","3.28","18","15","85.00"
"117","6","Forsaken","2.65","4","4","74.00"
"117","9","Forsaken","2.87","6","6","81.00"
"118","2","Beast Within: A Gabriel Knight Mystery, The","3.93","51","44","88.00"
"118","3","Beast Within: A Gabriel Knight Mystery, The","4.08","114","89","90.00"
"118","5","Beast Within: A Gabriel Knight Mystery, The","3.78","39","30","91.00"
"118","74","Beast Within: A Gabriel Knight Mystery, The","2.92","5","5","null"
"119","2","Quest for Glory IV: Shadows of Darkness","4.07","83","66","null"
"119","5","Quest for Glory IV: Shadows of Darkness","3.72","65","45","null"
"120","2","Punisher, The","3.35","9","6","null"
"120","19","Punisher, The","null","null","null","null"
"120","24","Punisher, The","2.75","1","1","null"
"121","3","Motorhead","3.68","21","14","72.00"
"121","6","Motorhead","3.19","4","2","null"
"122","2","King's Quest","3.39","60","55","69.00"
"122","4","King's Quest","3.62","20","14","null"
"122","19","King's Quest","4.20","6","6","null"
"122","24","King's Quest","4.43","4","4","null"
"122","26","King's Quest","4.00","5","5","null"
"122","31","King's Quest","4.27","6","6","null"
"122","51","King's Quest","3.00","1","1","null"
"122","74","King's Quest","5.00","2","2","null"
"123","2","King's Quest II: Romancing the Throne","3.04","39","33","62.00"
"123","4","King's Quest II: Romancing the Throne","2.69","16","11","null"
"123","19","King's Quest II: Romancing the Throne","2.84","5","5","null"
"123","24","King's Quest II: Romancing the Throne","4.40","3","3","null"
"123","31","King's Quest II: Romancing the Throne","5.00","1","1","null"
"123","51","King's Quest II: Romancing the Throne","null","null","null","null"
"124","2","Rampage","3.38","24","18","null"
"124","18","Rampage","3.38","2","2","null"
"124","19","Rampage","3.21","7","7","null"
"124","22","Rampage","3.61","9","9","null"
"124","24","Rampage","3.75","1","1","null"
"124","26","Rampage","3.58","3","3","61.00"
"124","27","Rampage","3.27","4","4","null"
"124","28","Rampage","3.06","4","4","null"
"124","31","Rampage","3.13","2","2","null"
"124","34","Rampage","3.00","1","1","null"
"124","39","Rampage","null","null","null","null"
"124","41","Rampage","3.63","4","4","null"
